context,question,label
"Các hình phạt đối với người phạm tội
1. Hình phạt chính bao gồm:
a) Cảnh cáo;
b) Phạt tiền;
c) Cải tạo không giam giữ;
d) Trục xuất;
đ) Tù có thời hạn;
e) Tù chung thân;
g) Tử hình.
2. Hình phạt bổ sung bao gồm:
a) Cấm đảm nhiệm chức vụ, cấm hành nghề hoặc làm công việc nhất định;
b) Cấm cư trú;
c) Quản chế;
d) Tước một số quyền công dân;
đ) Tịch thu tài sản;
e) Phạt tiền, khi không áp dụng là hình phạt chính;
g) Trục xuất, khi không áp dụng là hình phạt chính.
3. Đối với mỗi tội phạm, người phạm tội chỉ bị áp dụng một hình phạt chính và có thể bị áp dụng một hoặc một số hình phạt bổ sung.","Đối với mỗi tội phạm, người phạm tội chỉ bị áp dụng mấy hình phạt chính?",1
"Phân loại tội phạm
Căn cứ vào tính chất và mức độ nguy hiểm cho xã hội của hành vi phạm tội được quy định trong Bộ luật này, tội phạm được phân thành bốn loại sau đây:
1. Tội phạm ít nghiêm trọng là tội phạm có tính chất và mức độ nguy hiểm cho xã hội không lớn mà mức cao nhất của khung hình phạt do Bộ luật này quy định đối với tội ấy là phạt tiền, phạt cải tạo không giam giữ hoặc phạt tù đến 03 năm;
2. Tội phạm nghiêm trọng là tội phạm có tính chất và mức độ nguy hiểm cho xã hội lớn mà mức cao nhất của khung hình phạt do Bộ luật này quy định đối với tội ấy là từ trên 03 năm đến 07 năm tù;
3. Tội phạm rất nghiêm trọng là tội phạm có tính chất và mức độ nguy hiểm cho xã hội rất lớn mà mức cao nhất của khung hình phạt do Bộ luật này quy định đối với tội ấy là từ trên 07 năm đến 15 năm tù;
4. Tội phạm đặc biệt nghiêm trọng là tội phạm có tính chất và mức độ nguy hiểm cho xã hội đặc biệt lớn mà mức cao nhất của khung hình phạt do Bộ luật này quy định đối với tội ấy là từ trên 15 năm đến 20 năm tù, tù chung thân hoặc tử hình.","Đối với mỗi tội phạm, người phạm tội chỉ bị áp dụng mấy hình phạt chính?",0
"Cảnh cáo
Cảnh cáo được áp dụng đối với người phạm tội ít nghiêm trọng và có nhiều tình tiết giảm nhẹ, nhưng chưa đến mức miễn hình phạt.","Theo Bộ luật Hình sự năm 2017, cảnh cáo được áp dụng đối với người phạm tội như thế nào?",1
"Trục xuất
Trục xuất là buộc người nước ngoài bị kết án phải rời khỏi lãnh thổ nước Cộng hòa xã hội chủ nghĩa Việt Nam.
Trục xuất được Tòa án áp dụng là hình phạt chính hoặc hình phạt bổ sung trong từng trường hợp cụ thể.","Theo Bộ luật Hình sự năm 2017, trục xuất là gì?",1
"Tịch thu tài sản
Tịch thu tài sản là tước một phần hoặc toàn bộ tài sản thuộc sở hữu của người bị kết án để nộp vào ngân sách nhà nước.
Tịch thu tài sản chỉ được áp dụng đối với người bị kết án về tội phạm nghiêm trọng, tội phạm rất nghiêm trọng hoặc tội phạm đặc biệt nghiêm trọng xâm phạm an ninh quốc gia, tội phạm về ma túy, tham nhũng hoặc tội phạm khác do Bộ luật này quy định.
Khi tịch thu toàn bộ tài sản vẫn để cho người bị kết án và gia đình họ có điều kiện sinh sống.","Theo Bộ luật Hình sự năm 2017, trục xuất là gì?",0
"Chất lượng của tài sản mua bán
1. Chất lượng của tài sản mua bán do các bên thỏa thuận.
2. Trường hợp tiêu chuẩn về chất lượng của tài sản đã được công bố hoặc được cơ quan nhà nước có thẩm quyền quy định thì thỏa thuận của các bên về chất lượng của tài sản không được thấp hơn chất lượng của tài sản được xác định theo tiêu chuẩn đã công bố hoặc theo quy định của cơ quan nhà nước có thẩm quyền.
3. Khi các bên không có thỏa thuận hoặc thỏa thuận không rõ ràng về chất lượng tài sản mua bán thì chất lượng của tài sản mua bán được xác định theo tiêu chuẩn về chất lượng của tài sản đã được công bố, quy định của cơ quan nhà nước có thẩm quyền hoặc theo tiêu chuẩn ngành nghề.
Trường hợp không có tiêu chuẩn về chất lượng của tài sản đã được công bố, quy định của cơ quan nhà nước có thẩm quyền và tiêu chuẩn ngành nghề thì chất lượng của tài sản mua bán được xác định theo tiêu chuẩn thông thường hoặc theo tiêu chuẩn riêng phù hợp với mục đích giao kết hợp đồng và theo quy định của Luật bảo vệ quyền lợi người tiêu dùng.",Nếu các bên không thoả thuận về chất lượng tài sản mua bán thì chất lượng tài sản được xác định như thế nào?,1
"Thời điểm xác lập quyền sở hữu, quyền khác đối với tài sản
1. Thời điểm xác lập quyền sở hữu, quyền khác đối với tài sản thực hiện theo quy định của Bộ luật này, luật khác có liên quan; trường hợp luật không có quy định thì thực hiện theo thỏa thuận của các bên; trường hợp luật không quy định và các bên không có thỏa thuận thì thời điểm xác lập quyền sở hữu, quyền khác đối với tài sản là thời điểm tài sản được chuyển giao.
Thời điểm tài sản được chuyển giao là thời điểm bên có quyền hoặc người đại diện hợp pháp của họ chiếm hữu tài sản.
2. Trường hợp tài sản chưa được chuyển giao mà phát sinh hoa lợi, lợi tức thì hoa lợi, lợi tức thuộc về bên có tài sản chuyển giao, trừ trường hợp có thỏa thuận khác.",Nếu các bên không thoả thuận về chất lượng tài sản mua bán thì chất lượng tài sản được xác định như thế nào?,0
"Giá và phương thức thanh toán
1. Giá, phương thức thanh toán do các bên thỏa thuận hoặc do người thứ ba xác định theo yêu cầu của các bên. Trường hợp pháp luật quy định giá, phương thức thanh toán phải theo quy định của cơ quan nhà nước có thẩm quyền thì thỏa thuận của các bên phải phù hợp với quy định đó.
2. Trường hợp không có thỏa thuận hoặc thỏa thuận không rõ ràng về giá, phương thức thanh toán thì giá được xác định theo giá thị trường, phương thức thanh toán được xác định theo tập quán tại địa điểm và thời điểm giao kết hợp đồng.",Giá tài sản được xác định như thế nào nếu không có thoả thuận rõ ràng về giá?,1
"Giá thuê
1. Giá thuê do các bên thỏa thuận hoặc do người thứ ba xác định theo yêu cầu của các bên, trừ trường hợp luật có quy định khác.
2. Trường hợp không có thỏa thuận hoặc thỏa thuận không rõ ràng thì giá thuê được xác định theo giá thị trường tại địa điểm và thời điểm giao kết hợp đồng thuê.",Giá tài sản được xác định như thế nào nếu không có thoả thuận rõ ràng về giá?,0
"Giá và phương thức thanh toán
1. Giá, phương thức thanh toán do các bên thỏa thuận hoặc do người thứ ba xác định theo yêu cầu của các bên. Trường hợp pháp luật quy định giá, phương thức thanh toán phải theo quy định của cơ quan nhà nước có thẩm quyền thì thỏa thuận của các bên phải phù hợp với quy định đó.
2. Trường hợp không có thỏa thuận hoặc thỏa thuận không rõ ràng về giá, phương thức thanh toán thì giá được xác định theo giá thị trường, phương thức thanh toán được xác định theo tập quán tại địa điểm và thời điểm giao kết hợp đồng.",Nếu hai bên không có thoả thuận về phương thức thanh toán thì phương thức thanh toán được xác định như thế nào?,1
